"taskType","objectInfo","location","eventSeriesId","eventId","jobInstanceId","status","startTime","endTime","hasJob","numberOfRetries","previousSuccessfulJobTime","nodeIds","isFirstFullSnapshot","eventDate"
"Backup","@{objectId=VirtualMachine:::63d0a6b5-a82b-4172-a92f-12cb954e7923-vm-74842; objectName=DECOMM NY2P1-P-VCTR01; objectType=VmwareVm}","ny2p1-m-vctr01.redicloud.local","16fbef71-1c3e-4007-b3b0-f44414c7e9c3","2020-01-14:03:4:::1578973348579-1d690fd4-deb1-40b2-8d32-ac442f50a3d7","CREATE_VMWARE_SNAPSHOT_63d0a6b5-a82b-4172-a92f-12cb954e7923-vm-74842:::1031","Canceled",,"2020-01-14T03:42:28.571Z","True","0","2020-01-13T15:47:10.041Z","System.Object[]","True","2020-01-14T03:42:28.579Z"
"Backup","@{objectId=VirtualMachine:::bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-192904; objectName=BCHPGMS-XBDB; objectType=VmwareVm}","ny2p1-p-vctr01.redicloud.local","cd2c52cd-3963-4e4f-acf2-61e2fc4ce564","2020-01-14:01:2:::1578964920841-caa22c2b-8917-4363-9f69-42de9420afb1","CREATE_VMWARE_SNAPSHOT_bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-192904:::2","Canceled",,"2020-01-14T01:22:00.834Z","True","0","2020-01-14T01:16:39.750Z","System.Object[]","False","2020-01-14T01:22:00.841Z"
"Backup","@{objectId=VcdVapp:::b337ba81-e9c3-4088-9b4f-28c43174e9aa; objectName=S-ISCSI-VAPP1; objectType=VcdVapp}","DATAVA02\Tenant Portal","c9b271bd-916e-424d-b683-60e25275a01f","2020-01-14:01:1:::1578964343506-d9f3b5ac-82cb-4e64-9d91-2779b8230693","VCD_VAPP_SNAPSHOT_b337ba81-e9c3-4088-9b4f-28c43174e9aa:::362","Canceled",,"2020-01-14T01:12:23.497Z","True","1",,"System.Object[]","True","2020-01-14T01:12:23.506Z"
"Backup","@{objectId=VirtualMachine:::bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-65404; objectName=CWPWQB1 (2572f345-6288-4b44-a681-5f10c7141dab); objectType=VmwareVm}","ny2p1-p-vctr01.redicloud.local","145a71d1-eed5-4d33-8634-b7efa0b0f16d","2020-01-14:01:1:::1578964335924-5b954547-046b-410f-b0e9-55df50f0cbb7","CREATE_VMWARE_SNAPSHOT_bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-65404:::119","Canceled",,"2020-01-14T01:12:15.917Z","True","0","2020-01-14T01:05:05.525Z","System.Object[]","False","2020-01-14T01:12:15.924Z"
"Backup","@{objectId=VcdVapp:::ef4d43c9-187e-48a9-be95-4e46738dfd85; objectName=T2-SHAREPOINT-VAPP1; objectType=VcdVapp}","DATAVA02\Tenant Portal","4bea4e6b-7a2f-4b1d-97f2-75c035f8b2d8","2020-01-14:01:1:::1578964349021-394168ef-bc86-41be-bd57-3527562022d7","VCD_VAPP_SNAPSHOT_ef4d43c9-187e-48a9-be95-4e46738dfd85:::374","Canceled",,"2020-01-14T01:12:29.012Z","True","0","2020-01-13T01:23:44.880Z","System.Object[]",,"2020-01-14T01:12:29.021Z"
"Backup","@{objectId=VirtualMachine:::bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-79759; objectName=BSD16WS16-2rWF; objectType=VmwareVm}","ny2p1-p-vctr01.redicloud.local","c1cb45db-f1dd-45e3-9266-c10c9e0d648a","2020-01-14:01:1:::1578964587139-89aa49c9-0a2b-4109-a246-a247837dde71","CREATE_VMWARE_SNAPSHOT_bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-79759:::428","Canceled",,"2020-01-14T01:16:27.132Z","True","0","2020-01-13T01:19:04.209Z","System.Object[]",,"2020-01-14T01:16:27.139Z"
"Backup","@{objectId=VcdVapp:::c722d10d-4775-4444-ac5b-f291937e0e51; objectName=B-OS122-WS12; objectType=VcdVapp}","DATAVA02\Tenant Portal","83d94b8c-268e-4c96-8cb5-b93e379070de","2020-01-14:01:1:::1578964201462-5583643f-583d-4f19-8698-7371e6c04893","VCD_VAPP_SNAPSHOT_c722d10d-4775-4444-ac5b-f291937e0e51:::374","Canceled",,"2020-01-14T01:10:01.454Z","True","0","2020-01-13T01:22:49.944Z","System.Object[]",,"2020-01-14T01:10:01.462Z"
"Backup","@{objectId=VcdVapp:::ecd9a5b6-094a-40df-b41f-d8a9411624fb; objectName=T-SP16-WS16-2dde8c22-38d6-430c-985d-930d4b3532e5; objectType=VcdVapp}","DATAVA02\Tenant Portal","235e5e21-b4fc-4d6d-9aa3-cc9ea670a6cc","2020-01-14:01:1:::1578964379893-f7341ed5-a188-4819-9fce-709a4b5fd9f2","VCD_VAPP_SNAPSHOT_ecd9a5b6-094a-40df-b41f-d8a9411624fb:::353","Canceled",,"2020-01-14T01:12:59.883Z","True","0","2020-01-13T01:28:55.496Z","System.Object[]","True","2020-01-14T01:12:59.893Z"
"Backup","@{objectId=VirtualMachine:::bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-97533; objectName=BCHPLMC02-Mtr0; objectType=VmwareVm}","ny2p1-p-vctr01.redicloud.local","bd5b5cfd-1a85-4b48-b079-de264943f613","2020-01-14:01:0:::1578963616002-c2e735f8-0dcd-4423-b98e-88b4f20792b3","CREATE_VMWARE_SNAPSHOT_bbee8e36-0deb-4402-a1a0-8426f5643a12-vm-97533:::1","Canceled",,"2020-01-14T01:00:15.993Z","True","0","2020-01-14T01:23:35.758Z","System.Object[]","False","2020-01-14T01:00:16.002Z"
"Backup","@{objectId=VcdVapp:::aafcd902-7225-4047-bbf4-34260690a1a8; objectName=T1SSD12-WS12R2-588bbbc6-70b2-4bd3-98dd-215165f5dfdc; objectType=VcdVapp}","DATAVA02\Tenant Portal","83730473-dc81-409f-a567-d66144d0f19c","2020-01-14:01:0:::1578963862815-b2274420-3bca-492c-92dd-9719058df15d","VCD_VAPP_SNAPSHOT_aafcd902-7225-4047-bbf4-34260690a1a8:::376","Canceled",,"2020-01-14T01:04:22.806Z","True","0","2020-01-13T01:17:48.848Z","System.Object[]","True","2020-01-14T01:04:22.815Z"
